回答1：测试用例少的时候用弱覆盖，测试用例多的时候用强覆盖   得分为：5.9
回答2：简单功能弱覆盖，复杂功能强覆盖   得分为：4.7
回答3：弱覆盖用例数量少，冗余小，缺陷定位能力弱，测试用例方法简洁，时间效率高。弱覆盖用例数量多，冗余大，缺陷定位能力强，测试用例方法复杂，时间效率低   得分为：8.0
回答4：对测试用例要求少，测试覆盖度不高，测试冗余度要求低，缺陷定位要求不高，简洁性以及效率要求高的时候采用弱覆盖 对测试覆盖度要求高，缺陷定位要求高，其余要求较低的情况下采用强覆盖   得分为：8.4
回答5：当测试用例数量不做要求，覆盖要求高，冗余度限制比较低时，用强覆盖。如果要求测试用例简洁，时间效率有限制时，用弱覆盖   得分为：8.1
回答6：测试用例数量多、冗余性强时使用弱覆盖，其他情况使用强覆盖   得分为：6.8
回答7：测试用例数量较多时用强覆盖 测试用例要求简洁时弱覆盖 要求时间效率较高时用弱覆盖 要求测试覆盖度较高时用强覆盖   得分为：8.5
回答8：弱覆盖：适用于用例数量较少，冗余度低，测试用例需要有很强典型性。 强覆盖：用例数量较多，冗余度高，简洁性弱，时间较多。   得分为：7.5
回答9：测试覆盖 缺陷定位 时间效率   得分为：2.8
回答10：如果从测试用例数量少，测试方法简洁性，测试冗余，时间效率的角度进行分析，则使用弱覆盖；如果从测试全覆盖，缺陷定位的角度分析，则使用强覆盖   得分为：7.9
回答11：测试数量多的话用强覆盖， 看效率的话，当测试的东西多时，用强覆盖，东西少时用弱覆盖   得分为：6.8
回答12：缺陷定位要准确的时候用强覆盖，时间效率要高的时候用弱覆盖   得分为：5.4
回答13：测试时间紧张，对覆盖率要求不高时可用弱覆盖提高效率，反之用强覆盖   得分为：5.4
回答14：强覆盖覆盖度高，但是时间效率不如弱覆盖，弱覆盖时间效率高，覆盖率相对弱。条件允许，消耗不是特别大的时候用强覆盖。   得分为：6.9
回答15：测试覆盖度，测试冗余度，时间效率，测试用例方法简洁性，缺陷定位这些因素是会影响采用哪种覆盖的，测试用例的数量，测试用例典型性不会影响对覆盖的选择.   得分为：6.9
回答16：当测试用例，测试冗余要求少时使用弱覆盖，当要求缺陷定位时用强覆盖。   得分为：6.5
回答17：要求测试用例少，则用弱覆盖，用例多则用强覆盖；测试覆盖率低则用弱覆盖，否则强覆盖；时间效率高则用弱覆盖，否则强覆盖；关键功能用强覆盖，次要功能弱覆盖；缺陷定位强则强覆盖，否则弱覆盖。   得分为：7.4
回答18：弱覆盖：测试用例方法的简洁性 时间效率高 测试用例数量少 强覆盖: 需要缺陷定位   得分为：6.5
回答19：弱覆盖适用于用例少、覆盖面窄、主要为典型用例并且对测试时间有限制的情况；强覆盖则相反   得分为：4.7
回答20：测试用例，测试冗余要求少时使用弱覆盖，要求缺陷定位时用强覆盖   得分为：6.4
回答21：要求测试用例少，则用弱覆盖，用例多则用强覆盖；测试覆盖率低则用弱覆盖，否则强覆盖；时间效率高则用弱覆盖，否则强覆盖；关键功能用强覆盖，次要功能弱覆盖；缺陷定位强则强覆盖，否则弱覆盖。   得分为：7.4
回答22：弱覆盖：测试用例方法的简洁性 时间效率高 测试用例数量少 强覆盖: 需要缺陷定位   得分为：6.5
回答23：弱覆盖适用于用例少、覆盖面窄、主要为典型用例并且对测试时间有限制的情况；强覆盖则相反   得分为：4.7
回答24：弱覆盖是基站所需要覆盖面积大，基站间距过大，或者建筑物遮挡而导致边界区域信 号较弱。弱覆盖一般的都是在 Rxlev 小于 -90dBm 。弱覆盖的直接影响通话质量，必须引起 重视。   得分为：4.3
回答25：测试用例，测试冗余要求少时使用弱覆盖，要求缺陷定位时用强覆盖   得分为：6.4
回答26：当测试用例太多，测试冗余较大时选择使用强覆盖。相反，当测试用例较少时，可以使用弱覆盖。   得分为：7.4
回答27：测试用例多，测试覆盖标准使用多，冗余低，测试用例典型性高，用例方法简洁性高，时间效率高的时候使用弱覆盖，因为此时出错概率及时间成本等都比较低； 反之，使用强覆盖。   得分为：8.6
回答28：若项目规模小，要求低，测试时间短，则选择弱覆盖。 若项目规模大，要求高，测试时间长，缺陷尽可能少，则使用强覆盖。   得分为：6.5
回答29：当测试用例数量要求少时用弱覆盖，反之用强覆盖； 当测试冗余要求尽可能少冗余时用强覆盖，反之用弱覆盖； 当对缺陷定位要求尽可能准确时用强覆盖，反之用弱覆盖； 当对时间效率要求高时用弱覆盖，反之用弱覆盖； 当对覆盖度要求高时用强覆盖，反之用弱覆盖   得分为：6.0
回答30：当测试用例的数量偏少，测试覆盖面积比较小，测试亢余度比较低，缺陷定位不足，测试用例典型性不全面的情况下，用弱覆盖,。反之，用强覆盖。   得分为：8.7
回答31：用例数量多，覆盖范围大，冗余少，用例典型性高，方法较复杂，时间长的用弱覆盖，反之用强覆盖   得分为：7.5
回答32：测试用例数量少时用弱覆盖，反之强覆盖。 测试冗余要求尽可能少时用强覆盖，反之弱覆盖。 缺陷定位尽量准确时用强覆盖，反之弱覆盖   得分为：7.8
回答33：如果项目较小，测试用数量例较小，代码较为简单，项目对质量要求低，分配测试时间短，就使用弱覆盖 反之，如果对项目质量要求很高涉及银行军工等，分配了很多测试工作人员，用强覆盖   得分为：6.6
回答34：当测试条件允许时，尽量使用强覆盖，当测试条件不允许，或测试代码过于复杂时使用弱覆盖   得分为：5.8
回答35：时间紧张使用软覆盖，时间宽裕使用强覆盖。 测试用例数量多用强覆盖，少则使用软覆盖。 测试用例典型性强则软覆盖，弱则强覆盖。   得分为：7.0
回答36：当测试用例数量有限制和效率要求时使用弱覆盖， 如果对系统的功能需求要求较高使用强覆盖   得分为：7.6
回答37：当测试用例要求数量少，测试用例方法简洁，时间效率要求较高时，用弱覆盖。 当对缺陷定位要求较高时，用强覆盖。   得分为：8.0
回答38：当用例太多，缺陷定位精确，对简洁型要求不高时使用强覆盖   得分为：5.5
回答39：弱覆盖时间效率高，但是覆盖度不如强覆盖   得分为：5.1
回答40：测试用例的数量，测试冗余，测试用例方法的简结性，时间效率适应弱覆盖 其他的用强覆盖   得分为：6.7
回答41：当要求测试用例少，简洁，且典型，讲求测试效率时建议弱覆盖。 当要求测试用例多，测试用例不够典型，对测试效率要求不高但追求覆盖完全时建议使用强覆盖。   得分为：7.7
回答42：数量少用弱覆盖，否则用强覆盖 冗余少用弱覆盖，否则用强覆盖   得分为：5.4
回答43：用例数量少，缺陷定位快等等条件简单的情况一般用强覆盖；复杂情况一般用弱覆盖；特殊要求除外。   得分为：7.0
回答44：弱覆盖：测试用例的数量、测试用例典型性、测试用例方法的简洁性、时间效率； 强覆盖：测试冗余、缺陷定位。 测试覆盖无影响。   得分为：7.1
回答45：测试用例多使用弱覆盖，用例多使用强覆盖，有测试冗余时使用弱覆盖，缺陷定位强覆盖，测试用例典型性强覆盖，测试覆盖弱覆盖，简洁性强覆盖   得分为：8.4
回答46：如果在时间紧的情况下，采用弱覆盖可以对正常情况进行测试，那么可以采用弱覆盖，如果大部分条件情况不可忽略，那么就要使用强覆盖了，我们允许忽略极小可能发生的条件来做弱覆盖也是可以的选择。   得分为：6.1
回答47：弱覆盖面积覆盖大时使用 测试用例多时使用   得分为：4.4
回答48：用例多使用弱覆盖，用例少时用强覆盖   得分为：6.3
